PFId,PFName,AllocationYear,ProcessStatus,ProcessStatusId,CurrentAdminLevel,defaultAdminLevel,BenM,BenW,BenB,BenG,TotTarg,TotProjects,Budget,AllocationtypeId,step1,step2,step3,step4,syncedAt
99,Bangladesh (AP-RHPF),2026,,,4,4,273970,277314,370147,328769,1250200,14,145896619.1,1562,max,sum,max,max,2026-04-23T11:04:41.853000
99,Bangladesh (AP-RHPF),2026,Implementation,6,4,4,273970,277314,370147,328769,1250200,14,145896619.1,1562,max,sum,max,max,2026-04-23T11:04:41.853000
90,Chad (RhPF-WCA),2026,,,2,2,76590,85313,142813,165436,470152,12,97272706.83,1576,max,sum,max,sum,2026-04-23T11:04:37.777000
90,Chad (RhPF-WCA),2026,Disbursement,5,2,2,62996,70474,139803,163851,437124,11,72272706.83,1576,max,sum,max,sum,2026-04-23T11:04:37.777000
90,Chad (RhPF-WCA),2026,Implementation,6,2,2,67206,72810,102510,111050,353576,1,25000000,1576,max,sum,max,sum,2026-04-23T11:04:37.777000
87,Colombia (RhPF-LAC),2026,,,2,2,129668,151661,83298,86888,451515,8,76450000.72,1597,max,sum,max,sum,2026-04-23T11:04:18.257000
87,Colombia (RhPF-LAC),2026,Submission of Proposal,1,2,2,111155,117464,72972,70360,371951,3,38200000.71,1597,max,sum,max,sum,2026-04-23T11:04:18.257000
87,Colombia (RhPF-LAC),2026,Technical Review,3,2,2,41819,72006,28467,39526,181818,5,38250000.01,1597,max,sum,max,sum,2026-04-23T11:04:18.257000
24,DRC,2026,,,2,2,155858,206919,409241,434106,1206124,12,145900000,1575,max,sum,max,sum,2026-04-23T11:03:08.860000
24,DRC,2026,Disbursement,5,2,2,155858,206919,409241,434106,1206124,12,145900000,1575,max,sum,max,sum,2026-04-23T11:03:08.860000
53,Ethiopia,2026,,,2,2,411605,437929,691307,707750,2248591,15,96999986.87,1563,max,sum,max,sum,2026-04-23T11:03:32.227000
53,Ethiopia,2026,Implementation,6,2,2,411605,437929,691307,707750,2248591,15,96999986.87,1563,max,sum,max,sum,2026-04-23T11:03:32.227000
88,Haiti (RhPF-LAC),2026,,,2,2,246357,256900,234180,234395,971832,7,121500000.2,1569,max,sum,max,sum,2026-04-23T11:04:28.407000
88,Haiti (RhPF-LAC),2026,Disbursement,5,2,2,235204,242968,151755,152094,782021,6,111500000.2,1569,max,sum,max,sum,2026-04-23T11:04:28.407000
88,Haiti (RhPF-LAC),2026,HC Final Approval,4,2,2,189236,192387,103757,100961,586341,3,0,,max,sum,max,sum,2026-04-22T18:21:51.280000
88,Haiti (RhPF-LAC),2026,Technical Review,3,2,2,67365,83988,182717,190499,524569,1,10000000,1569,max,sum,max,sum,2026-04-23T11:04:28.407000
511,Kenya (ESAHF),2026,,,2,2,361429,391735,432587,474967,1660718,11,48481145.28,1578,max,sum,max,sum,2026-04-23T11:03:20.087000
511,Kenya (ESAHF),2026,Disbursement,5,2,2,67153,72651,129071,134702,403577,4,6214551.86,1578,max,sum,max,sum,2026-04-23T11:03:20.087000
511,Kenya (ESAHF),2026,Implementation,6,2,2,342783,372694,370777,416890,1503144,7,42266593.42,1578,max,sum,max,sum,2026-04-23T11:03:20.087000
89,Mozambique (RhPF),2026,,,2,2,144707,253675,247194,261904,907480,14,77800000,1572,max,sum,max,sum,2026-04-23T11:04:33.830000
89,Mozambique (RhPF),2026,Disbursement,5,2,2,45149,50429,44879,50875,191332,4,26500064.74,1572,max,sum,max,sum,2026-04-23T11:04:33.830000
89,Mozambique (RhPF),2026,Implementation,6,2,2,141321,253675,247194,261904,904094,10,51299935.26,1572,max,sum,max,sum,2026-04-23T11:04:33.830000
59,Myanmar,2026,,,2,2,35100,37800,31050,31050,135000,15,135931808.7,1571,max,sum,max,sum,2026-04-23T11:03:42.783000
59,Myanmar,2026,Disbursement,5,2,2,20444,24029,11042,10750,66265,1,5000000,1571,max,sum,max,sum,2026-04-23T11:03:42.783000
59,Myanmar,2026,Implementation,6,2,2,35100,37800,31050,31050,135000,14,130931808.7,1571,max,sum,max,sum,2026-04-23T11:03:42.783000
75,Nigeria,2026,,,2,2,172524,404830,370859,420829,1369042,17,121500055.5,1573,max,sum,max,sum,2026-04-23T11:03:59.100000
75,Nigeria,2026,Disbursement,5,2,2,164576,398592,370859,420829,1354856,9,94700054.55,1573,max,sum,max,sum,2026-04-23T11:03:59.100000
75,Nigeria,2026,Implementation,6,2,2,58843,117875,81764,95570,354052,8,26800000.93,1573,max,sum,max,sum,2026-04-23T11:03:59.100000
19,South Sudan,2026,,,2,2,140948,178099,363336,385008,1067391,21,97199884.19,1566,max,sum,max,sum,2026-04-23T11:03:02.383000
19,South Sudan,2026,Implementation,6,2,2,140948,178099,363336,385008,1067391,21,97199884.19,1566,max,sum,max,sum,2026-04-23T11:03:02.383000
15,Sudan,2026,,,2,2,215393,345795,303336,322145,1186669,16,194500000,1565,max,sum,max,sum,2026-04-23T11:02:55.243000
15,Sudan,2026,Implementation,6,2,2,215393,345795,303336,322145,1186669,16,194500000,1565,max,sum,max,sum,2026-04-23T11:02:55.243000
62,Syria,2026,,,2,2,332722,444087,453628,465369,1695806,17,145900000,1570,max,sum,max,sum,2026-04-23T11:03:50.540000
62,Syria,2026,Disbursement,5,2,2,276608,307595,294979,293961,1173143,9,48900000,1570,max,sum,max,sum,2026-04-23T11:03:50.540000
62,Syria,2026,HC Final Approval,4,2,2,168766,333374,392276,388787,1283203,8,97000000,1570,max,sum,max,sum,2026-04-23T11:03:50.540000
512,Uganda (ESAHF),2026,,,2,2,420975,418650,422796,477984,1740405,9,72899992.82,1577,max,sum,max,sum,2026-04-23T11:03:24.600000
512,Uganda (ESAHF),2026,Disbursement,5,2,2,420975,418650,422796,477984,1740405,9,72899992.82,1577,max,sum,max,sum,2026-04-23T11:03:24.600000
81,Ukraine,2026,,,2,2,277332,475613,55345,55284,863574,10,150700000.8,1564,max,sum,sum,sum,2026-04-23T11:04:06.633000
81,Ukraine,2026,Implementation,6,2,2,277332,475613,55345,55284,863574,10,150700000.8,1564,max,sum,sum,sum,2026-04-23T11:04:06.633000
